Time,Protein,Value,
0 h,p-Stat3@Y705,1,
0.16 h,p-Stat3@Y705,0.741046832,
0.5 h,p-Stat3@Y705,0.620010477,
1 h,p-Stat3@Y705,0.553035544,
2 h,p-Stat3@Y705,0.621554712,
6 h,p-Stat3@Y705,0.455107724,
12 h,p-Stat3@Y705,0.778029549,
24 h,p-Stat3@Y705,0.686826777,
48 h,p-Stat3@Y705,0.559452094,
96 h,p-Stat3@Y705,0.35733704,
144 h,p-Stat3@Y705,0.27231239,
0 h,p-Stat3@Y705,1,
0.16 h,p-Stat3@Y705,0.989567598,
0.5 h,p-Stat3@Y705,0.576292664,
1 h,p-Stat3@Y705,0.65307337,
2 h,p-Stat3@Y705,0.651324901,
6 h,p-Stat3@Y705,0.69933208,
12 h,p-Stat3@Y705,0.204342325,
24 h,p-Stat3@Y705,0.266757687,
48 h,p-Stat3@Y705,0.312249547,
96 h,p-Stat3@Y705,0.656784225,
144 h,p-Stat3@Y705,0.368022901,
0 h,p-Stat3@Y705,1,
0.16 h,p-Stat3@Y705,0.600027129,
0.5 h,p-Stat3@Y705,0.612836192,
1 h,p-Stat3@Y705,0.674906265,
2 h,p-Stat3@Y705,0.551005278,
6 h,p-Stat3@Y705,0.667316915,
12 h,p-Stat3@Y705,2.205450761,
24 h,p-Stat3@Y705,0.747928034,
48 h,p-Stat3@Y705,1.04874849,
96 h,p-Stat3@Y705,0.972903374,
144 h,p-Stat3@Y705,0.602476694,
0 h,p-Stat3@S727,1,
0.16 h,p-Stat3@S727,1.436914491,
0.5 h,p-Stat3@S727,1.364456968,
1 h,p-Stat3@S727,0.910010955,
2 h,p-Stat3@S727,1.50844414,
6 h,p-Stat3@S727,1.202206296,
12 h,p-Stat3@S727,1.113142628,
24 h,p-Stat3@S727,2.181524982,
48 h,p-Stat3@S727,3.142835584,
96 h,p-Stat3@S727,2.723933891,
144 h,p-Stat3@S727,1.66118317,
0 h,p-Stat3@S727,1,
0.16 h,p-Stat3@S727,1.480493098,
0.5 h,p-Stat3@S727,1.51779848,
1 h,p-Stat3@S727,1.134824309,
2 h,p-Stat3@S727,1.809820358,
6 h,p-Stat3@S727,1.87927208,
12 h,p-Stat3@S727,0.519374996,
24 h,p-Stat3@S727,0.743888188,
48 h,p-Stat3@S727,1.159455245,
96 h,p-Stat3@S727,1.358182836,
144 h,p-Stat3@S727,0.791389465,
0 h,p-Stat3@S727,1,
0.16 h,p-Stat3@S727,0.698408702,
0.5 h,p-Stat3@S727,0.952087463,
1 h,p-Stat3@S727,1.008331235,
2 h,p-Stat3@S727,1.304938221,
6 h,p-Stat3@S727,1.147819123,
12 h,p-Stat3@S727,0.362064194,
24 h,p-Stat3@S727,0.859117656,
48 h,p-Stat3@S727,0.391612944,
96 h,p-Stat3@S727,0.41091551,
144 h,p-Stat3@S727,0.511236258,
0 h,pFgfr,1,
0.16 h,pFgfr,1.839687981,
0.5 h,pFgfr,0.736942022,
1 h,pFgfr,0.584794091,
2 h,pFgfr,1.856090921,
6 h,pFgfr,2.215624362,
12 h,pFgfr,2.333036241,
24 h,pFgfr,3.407596282,
48 h,pFgfr,4.024297311,
96 h,pFgfr,3.785044534,
144 h,pFgfr,3.29210009,
0 h,pFgfr,1,
0.16 h,pFgfr,1.226978807,
0.5 h,pFgfr,0.444488856,
1 h,pFgfr,0.487581118,
2 h,pFgfr,0.628541709,
6 h,pFgfr,1.001899614,
12 h,pFgfr,2.531406248,
24 h,pFgfr,1.678127962,
48 h,pFgfr,2.530917202,
96 h,pFgfr,3.264443402,
144 h,pFgfr,1.662158699,
0 h,pFgfr,1,
0.16 h,pFgfr,1.386437357,
0.5 h,pFgfr,0.814670137,
1 h,pFgfr,0.862761782,
2 h,pFgfr,1.062244408,
6 h,pFgfr,0.988489616,
12 h,pFgfr,2.109230974,
24 h,pFgfr,2.727569583,
48 h,pFgfr,3.320492703,
96 h,pFgfr,2.385286395,
144 h,pFgfr,2.977042837,
0 h,p-Erk1/2,1,
0.16 h,p-Erk1/2,1.013168947,
0.5 h,p-Erk1/2,0.954825374,
1 h,p-Erk1/2,0.629703568,
2 h,p-Erk1/2,0.686645707,
6 h,p-Erk1/2,0.497020197,
12 h,p-Erk1/2,0.671589713,
24 h,p-Erk1/2,0.841081316,
48 h,p-Erk1/2,0.782220921,
96 h,p-Erk1/2,0.52013451,
144 h,p-Erk1/2,0.374167909,
0 h,p-Erk1/2,1,
0.16 h,p-Erk1/2,1.007357577,
0.5 h,p-Erk1/2,0.529418544,
1 h,p-Erk1/2,1.151905471,
2 h,p-Erk1/2,0.635922962,
6 h,p-Erk1/2,1.687853628,
12 h,p-Erk1/2,0.122362291,
24 h,p-Erk1/2,0.261200858,
48 h,p-Erk1/2,0.229567738,
96 h,p-Erk1/2,0.712254706,
