Exp,Day,Condition,Value
Cell Growth,2,1000 U/mL LIF,1
Cell Growth,2,1000 U/mL LIF,1
Cell Growth,2,1000 U/mL LIF,1
Cell Growth,2,1000 U/mL LIF,1
Cell Growth,2,1000 U/mL LIF,1
Cell Growth,4,1000 U/mL LIF,1
Cell Growth,4,1000 U/mL LIF,1
Cell Growth,4,1000 U/mL LIF,1
Cell Growth,4,1000 U/mL LIF,1
Cell Growth,4,1000 U/mL LIF,1
Cell Growth,6,1000 U/mL LIF,1
Cell Growth,6,1000 U/mL LIF,1
Cell Growth,6,1000 U/mL LIF,1
Cell Growth,6,1000 U/mL LIF,1
Cell Growth,6,1000 U/mL LIF,1
Cell Growth,2,330 U/mL LIF,1.08
Cell Growth,2,330 U/mL LIF,0.72
Cell Growth,2,330 U/mL LIF,1.1
Cell Growth,2,330 U/mL LIF,0.76
Cell Growth,2,330 U/mL LIF,0.79
Cell Growth,4,330 U/mL LIF,0.73
Cell Growth,4,330 U/mL LIF,1.36
Cell Growth,4,330 U/mL LIF,1.33
Cell Growth,4,330 U/mL LIF,1.68
Cell Growth,4,330 U/mL LIF,0.63
Cell Growth,6,330 U/mL LIF,0.94
Cell Growth,6,330 U/mL LIF,0.95
Cell Growth,6,330 U/mL LIF,1.86
Cell Growth,6,330 U/mL LIF,1.15
Cell Growth,6,330 U/mL LIF,1.34
Cell Growth,2,0 U/mL LIF,0.67
Cell Growth,2,0 U/mL LIF,1.31
Cell Growth,2,0 U/mL LIF,0.56
Cell Growth,2,0 U/mL LIF,0.71
Cell Growth,4,0 U/mL LIF,0.79
Cell Growth,4,0 U/mL LIF,0.76
Cell Growth,4,0 U/mL LIF,0.76
Cell Growth,4,0 U/mL LIF,0.66
Cell Growth,6,0 U/mL LIF,0.03
Cell Growth,6,0 U/mL LIF,0.02
Cell Growth,6,0 U/mL LIF,0.14
Cell Growth,6,0 U/mL LIF,0.32
Cell Growth,2,330 U/mL LIF + Pro,1.59
Cell Growth,2,330 U/mL LIF + Pro,1.77
Cell Growth,2,330 U/mL LIF + Pro,2.28
Cell Growth,2,330 U/mL LIF + Pro,1.77
Cell Growth,2,330 U/mL LIF + Pro,1.29
Cell Growth,4,330 U/mL LIF + Pro,1.55
Cell Growth,4,330 U/mL LIF + Pro,1.2
Cell Growth,4,330 U/mL LIF + Pro,1.32
Cell Growth,4,330 U/mL LIF + Pro,1.33
Cell Growth,6,330 U/mL LIF + Pro,0.89
Cell Growth,6,330 U/mL LIF + Pro,1.79
Cell Growth,6,330 U/mL LIF + Pro,0.99
Cell Growth,6,330 U/mL LIF + Pro,1.32
Apoptosis,2,1000 U/mL LIF,15.81
Apoptosis,2,1000 U/mL LIF,19.71
Apoptosis,2,1000 U/mL LIF,48.5
Apoptosis,2,1000 U/mL LIF,32.3
Apoptosis,4,1000 U/mL LIF,6.51
Apoptosis,4,1000 U/mL LIF,24
Apoptosis,4,1000 U/mL LIF,13.55
Apoptosis,4,1000 U/mL LIF,13.64
Apoptosis,6,1000 U/mL LIF,31.7
Apoptosis,6,1000 U/mL LIF,47.3
Apoptosis,6,1000 U/mL LIF,24.6
Apoptosis,6,1000 U/mL LIF,24.5
Apoptosis,2,330 U/mL LIF,27.03
Apoptosis,2,330 U/mL LIF,14.37
Apoptosis,2,330 U/mL LIF,10.54
Apoptosis,2,330 U/mL LIF,62
Apoptosis,4,330 U/mL LIF,7.81
Apoptosis,4,330 U/mL LIF,35
Apoptosis,4,330 U/mL LIF,22.14
Apoptosis,4,330 U/mL LIF,26.3
Apoptosis,6,330 U/mL LIF,22.04
Apoptosis,6,330 U/mL LIF,29.1
Apoptosis,6,330 U/mL LIF,27.1
Apoptosis,6,330 U/mL LIF,26.9
Apoptosis,2,0 U/mL LIF,12.43
Apoptosis,2,0 U/mL LIF,10.13
Apoptosis,2,0 U/mL LIF,34.6
Apoptosis,2,0 U/mL LIF,61.6
Apoptosis,4,0 U/mL LIF,58.3
Apoptosis,4,0 U/mL LIF,65.2
Apoptosis,4,0 U/mL LIF,64.8
Apoptosis,4,0 U/mL LIF,54.6
Apoptosis,6,0 U/mL LIF,76.8
Apoptosis,6,0 U/mL LIF,78.1
Apoptosis,6,0 U/mL LIF,72.7
Apoptosis,6,0 U/mL LIF,73.7
Apoptosis,2,330 U/mL LIF + Pro,17.06
Apoptosis,2,330 U/mL LIF + Pro,15.53
Apoptosis,2,330 U/mL LIF + Pro,22.6
Apoptosis,2,330 U/mL LIF + Pro,35.8
Apoptosis,4,330 U/mL LIF + Pro,9.4
Apoptosis,4,330 U/mL LIF + Pro,33
Apoptosis,4,330 U/mL LIF + Pro,17.44
Apoptosis,4,330 U/mL LIF + Pro,21.28
Apoptosis,6,330 U/mL LIF + Pro,47.2
Apoptosis,6,330 U/mL LIF + Pro,32.7
Apoptosis,6,330 U/mL LIF + Pro,48.4
Apoptosis,6,330 U/mL LIF + Pro,34
Prolif,2,1000 U/mL LIF,74.6
Prolif,2,1000 U/mL LIF,67.9
Prolif,2,1000 U/mL LIF,75.4
Prolif,2,1000 U/mL LIF,72.2
Prolif,4,1000 U/mL LIF,72.7
Prolif,4,1000 U/mL LIF,73.4
Prolif,4,1000 U/mL LIF,77.5
Prolif,4,1000 U/mL LIF,74.6
Prolif,6,1000 U/mL LIF,78.4
Prolif,6,1000 U/mL LIF,67.8
Prolif,6,1000 U/mL LIF,73.1
Prolif,6,1000 U/mL LIF,74.3
Prolif,2,330 U/mL LIF,74.4
Prolif,2,330 U/mL LIF,69.9
Prolif,2,330 U/mL LIF,72.6
Prolif,2,330 U/mL LIF,74.2
Prolif,4,330 U/mL LIF,74.5
Prolif,4,330 U/mL LIF,73.8
Prolif,4,330 U/mL LIF,77.3
Prolif,4,330 U/mL LIF,75.3
Prolif,6,330 U/mL LIF,75.8
Prolif,6,330 U/mL LIF,71.2
Prolif,6,330 U/mL LIF,76.3
Prolif,6,330 U/mL LIF,74.1
Prolif,2,0 U/mL LIF,71.2
Prolif,2,0 U/mL LIF,65.9
Prolif,2,0 U/mL LIF,39.6
Prolif,2,0 U/mL LIF,67.2
Prolif,4,0 U/mL LIF,59.7
Prolif,4,0 U/mL LIF,61.2
Prolif,4,0 U/mL LIF,67.3
Prolif,4,0 U/mL LIF,62.1
Prolif,6,0 U/mL LIF,9.53
Prolif,6,0 U/mL LIF,59
Prolif,6,0 U/mL LIF,41
Prolif,2,330 U/mL LIF + Pro,78.6
Prolif,2,330 U/mL LIF + Pro,76
Prolif,2,330 U/mL LIF + Pro,41.9
Prolif,2,330 U/mL LIF + Pro,76.7
Prolif,4,330 U/mL LIF + Pro,73.8
Prolif,4,330 U/mL LIF + Pro,76.5
Prolif,4,330 U/mL LIF + Pro,78.2
Prolif,4,330 U/mL LIF + Pro,76.2
Prolif,6,330 U/mL LIF + Pro,80.6
Prolif,6,330 U/mL LIF + Pro,73.5
Prolif,6,330 U/mL LIF + Pro,78.4
Prolif,6,330 U/mL LIF + Pro,78.3
Morph,NA,1000 U/mL LIF,0.263157895
Morph,NA,1000 U/mL LIF,0.588235294
Morph,NA,1000 U/mL LIF,0.684210526
Morph,NA,1000 U/mL LIF,0.904761905
