ExpCode,Condition,n colonies [ES phenotye],n colonies [partial differentiation phenotye],n colonies [full differentiation phenotye],Total number of colonies, % [ES phenotye],% [partial differentiation phenotye],% [full differentiation phenotye],Morphology Value [((C + D*2 + E*3)/F)-1],Averaged values,Corresponding Images,Randomization code
E116,330+Pro+DMSO,7,8,4,19,36.8,42.1,21.1,0.8421,0.6529,E116_D6_330+Pro+DMSO_10x_1.jpg,0000007_49.jpg
E116,330+Pro+DMSO,16,4,3,23,69.6,17.4,13.0,0.4348,,E116_D6_330+Pro+DMSO_10x_2.jpg,0000248_50.jpg
E116,330+Pro+DMSO,7,15,0,22,31.8,68.2,0.0,0.6818,,E116_D6_330+Pro+DMSO_10x_3.jpg,0000387_51.jpg
E133,330+Pro+DMSO,1,9,5,15,6.7,60.0,33.3,1.2667,1.1639,E133_D3P37_D6_Cont_330+Pro+DMSO_10x_1.tif,000142_157.tif
E133,330+Pro+DMSO,3,12,5,20,15.0,60.0,25.0,1.1000,,E133_D3P37_D6_Cont_330+Pro+DMSO_10x_2.tif,000405_158.tif
E133,330+Pro+DMSO,3,8,5,16,18.8,50.0,31.3,1.1250,,E133_D3P37_D6_Cont_330+Pro+DMSO_10x_3.tif,000146_159.tif
E136,330+Pro+DMSO,0,20,2,22,0.0,90.9,9.1,1.0909,1.0121,E136_D6_Cont_330+Pro+DMSO_10x_1.tif,000211_241.tif
E136,330+Pro+DMSO,6,10,4,20,30.0,50.0,20.0,0.9000,,E136_D6_Cont_330+Pro+DMSO_10x_2.tif,000011_242.tif
E136,330+Pro+DMSO,6,9,7,22,27.3,40.9,31.8,1.0455,,E136_D6_Cont_330+Pro+DMSO_10x_3.tif,000286_243.tif
E140,330+Pro+DMSO,0,14,7,21,0.0,66.7,33.3,1.3333,1.4227,E140_D6_Cont_330+Pro+DMSO_19NOV17_10x_1.tif,000247_340.tif
E140,330+Pro+DMSO,1,9,12,22,4.5,40.9,54.5,1.5000,,E140_D6_Cont_330+Pro+DMSO_19NOV17_10x_2.tif,000060_341.tif
E140,330+Pro+DMSO,1,11,11,23,4.3,47.8,47.8,1.4348,,E140_D6_Cont_330+Pro+DMSO_19NOV17_10x_3.tif,000392_342.tif
E142,330+Pro+DMSO,0,5,11,16,0.0,31.3,68.8,1.6875,1.3304,E142_D6_Cont_330+Pro+DMSO_30JAN18_10x_1.tif,000127_425.tif
E142,330+Pro+DMSO,6,9,4,19,31.6,47.4,21.1,0.8947,,E142_D6_Cont_330+Pro+DMSO_30JAN18_10x_2.tif,000317_426.tif
E142,330+Pro+DMSO,1,11,10,22,4.5,50.0,45.5,1.4091,,E142_D6_Cont_330+Pro+DMSO_30JAN18_10x_3.tif,000089_427.tif
E140,L+U+R+P+S,5,14,0,19,26.3,73.7,0.0,0.7368,0.7604,E140_D6_5i_19NOV17_10x_1.tif,000224_328.tif
E140,L+U+R+P+S,5,6,4,15,33.3,40.0,26.7,0.9333,,E140_D6_5i_19NOV17_10x_2.tif,000094_329.tif
E140,L+U+R+P+S,7,11,0,18,38.9,61.1,0.0,0.6111,,E140_D6_5i_19NOV17_10x_3.tif,000130_330.tif
E116,L,0,5,16,21,0.0,23.8,76.2,1.7619,1.3496,E116_D6_1i_LY_10x_1.jpg,00000351_7.jpg
E116,L,5,11,7,23,21.7,47.8,30.4,1.0870,,E116_D6_1i_LY_10x_21.jpg,00000365_8.jpg
E116,L,2,12,6,20,10.0,60.0,30.0,1.2000,,E116_D6_1i_LY_10x_3.jpg,00000169_9.jpg
E133,L,5,7,9,21,23.8,33.3,42.9,1.1905,0.9091,E133_D3P37_D6_1i_LY_10x_1.tif,0000172_85.tif
