Protein,Inhib1,Inhib2,Inhib_Dash,Time,Value
pERK,R,NA,-,2,0.52
pERK,R,NA,-,4,0.45
pERK,R,NA,-,6,0.51
pERK,R,NA,-,8,0.59
pERK,R,NA,-,10,0.65
pERK,R,R,R,4,0.46
pERK,R,R,R,6,0.58
pERK,R,R,R,8,0.47
pERK,R,R,R,10,0.68
pERK,U,NA,-,2,0.19239964
pERK,U,NA,-,4,0.173502523
pERK,U,NA,-,6,0.311670678
pERK,U,NA,-,8,0.568126795
pERK,U,NA,-,10,0.996646124
pERK,U,U,U,4,0.15
pERK,U,U,U,6,0.33
pERK,U,U,U,8,0.47
pERK,U,U,U,10,0.47
pERK,L,NA,-,2,0.72
pERK,L,NA,-,4,0.63
pERK,L,NA,-,6,1.08
pERK,L,NA,-,8,1.27
pERK,L,NA,-,10,0.94
pERK,L,L,L,4,0.52
pERK,L,L,L,6,0.76
pERK,L,L,L,8,0.94
pERK,L,L,L,10,1.35
pERK,P,NA,-,2,1.29
pERK,P,NA,-,4,2.15
pERK,P,NA,-,6,2.58
pERK,P,NA,-,8,1.33
pERK,P,NA,-,10,2.73
pERK,P,P,P,4,1.68
pERK,P,P,P,6,1.33
pERK,P,P,P,8,0.58
pERK,P,P,P,10,1.12
pERK,S,NA,-,2,0.43
pERK,S,NA,-,4,1
pERK,S,NA,-,6,0.71
pERK,S,NA,-,8,0.5
pERK,S,NA,-,10,0.71
pERK,S,S,S,4,0.9
pERK,S,S,S,6,0.25
pERK,S,S,S,8,0.22
pERK,S,S,S,10,0.2
pERK,U,R,R,4,0.3
pERK,U,R,R,6,0.25
pERK,U,R,R,8,0.6
pERK,U,R,R,10,1.01
pERK,U,P,P,4,0.47
pERK,U,P,P,6,0.24
pERK,U,P,P,8,0.88
pERK,U,P,P,10,0.45
pERK,U,L,L,4,0.16
pERK,U,L,L,6,0.2
pERK,U,L,L,8,0.49
pERK,U,L,L,10,0.47
pERK,U,S,S,4,0.09
pERK,U,S,S,6,0.06
pERK,U,S,S,8,0.19
pERK,U,S,S,10,0.14
pERK,R,U,U,4,0.24
pERK,R,U,U,6,0.08
pERK,R,U,U,8,0.18
pERK,R,U,U,10,0.16
pERK,R,S,S,4,0.48
pERK,R,S,S,6,0.37
pERK,R,S,S,8,0.78
pERK,R,S,S,10,0.39
pERK,R,P,P,4,1.01
pERK,R,P,P,6,0.47
pERK,R,P,P,8,1.12
pERK,R,P,P,10,1.14
pERK,R,L,L,4,0.85
pERK,R,L,L,6,0.43
pERK,R,L,L,8,0.89
pERK,R,L,L,10,1.06
pERK,R,NA,-,2,1.87
pERK,R,NA,-,4,7.12
pERK,R,NA,-,6,7.95
pERK,R,NA,-,8,7.58
pERK,R,NA,-,10,75.39
pERK,R,R,R,4,10.63
pERK,R,R,R,6,5.91
pERK,R,R,R,8,10.68
pERK,R,R,R,10,92.43
pERK,U,NA,-,2,0.02
pERK,U,NA,-,4,1.5
pERK,U,NA,-,6,1.98
pERK,U,NA,-,8,5.82
pERK,U,NA,-,10,11.2
pERK,U,U,U,4,0
pERK,U,U,U,6,0
pERK,U,U,U,8,2.28
pERK,U,U,U,10,3.91
pERK,L,NA,-,2,3.4
pERK,L,NA,-,4,3.62
pERK,L,NA,-,6,3.34
pERK,L,NA,-,8,3.69
pERK,L,NA,-,10,16.65
pERK,L,L,L,4,6.94
pERK,L,L,L,6,2.59
pERK,L,L,L,8,6.82
pERK,L,L,L,10,22.24
pERK,P,NA,-,2,2.07
pERK,P,NA,-,4,9.62
pERK,P,NA,-,6,7.31
pERK,P,NA,-,8,11.71
pERK,P,NA,-,10,8.22
pERK,P,P,P,4,6.22
pERK,P,P,P,6,5.21
pERK,P,P,P,8,7.81
pERK,P,P,P,10,5.74
