Response,Predicted,Exp,ModelType
5.08883975,3.80320488,Fgf5,BRANN
3.92992972,3.78477049,Fgf5,BRANN
3.85263406,3.70400158,Fgf5,BRANN
2.80251054,3.67006474,Fgf5,BRANN
1.98556801,1.8467027,Fgf5,BRANN
2.49550275,2.21025811,Fgf5,BRANN
2.1500943,2.72290397,Fgf5,BRANN
2.90660904,2.66924192,Fgf5,BRANN
2.86655181,2.85333195,Fgf5,BRANN
3.56551931,2.87878594,Fgf5,BRANN
-0.0988507,0.69255811,Fgf5,BRANN
0.89362482,1.25623472,Fgf5,BRANN
3.58300016,3.63066041,Fgf5,BRANN
3.75749088,3.65053127,Fgf5,BRANN
3.87297664,3.44458196,Fgf5,BRANN
2.19253586,3.40607864,Fgf5,BRANN
1.80378484,2.02062968,Fgf5,BRANN
2.8191011,2.74843122,Fgf5,BRANN
2.68859304,2.71067136,Fgf5,BRANN
1.8052995,2.83138272,Fgf5,BRANN
4.3225207,2.84859127,Fgf5,BRANN
1.01493144,0.99367499,Fgf5,BRANN
2.120142,1.65883013,Fgf5,BRANN
0.05385206,-0.6707057,Rex1,BRANN
-0.4710693,-0.6330104,Rex1,BRANN
-0.6006913,-0.7160422,Rex1,BRANN
-0.8174973,-0.7547793,Rex1,BRANN
-0.5005281,-0.659371,Rex1,BRANN
-0.7675607,-0.7430747,Rex1,BRANN
-0.8186489,-0.5553084,Rex1,BRANN
-0.3509355,-0.5202291,Rex1,BRANN
-0.8022963,-0.5981328,Rex1,BRANN
-0.6261269,-0.63499,Rex1,BRANN
-0.7176243,-0.5449764,Rex1,BRANN
-0.6876016,-0.6240019,Rex1,BRANN
-1.1612165,-0.9788295,Rex1,BRANN
-1.2735316,-0.9402375,Rex1,BRANN
-1.2841252,-1.0239075,Rex1,BRANN
-1.0341105,-1.061347,Rex1,BRANN
-1.3138963,-0.9672344,Rex1,BRANN
-0.6228521,-0.8564306,Rex1,BRANN
-0.7889128,-0.8172121,Rex1,BRANN
-0.5742391,-0.9027326,Rex1,BRANN
-1.3573862,-0.9416988,Rex1,BRANN
-0.787463,-0.8445573,Rex1,BRANN
-0.5785643,-0.9299189,Rex1,BRANN
2.61527267,1.53813962,Dnmt3b,BRANN
2.1155073,2.24318203,Dnmt3b,BRANN
2.08802923,2.0390521,Dnmt3b,BRANN
0.99807894,1.31691359,Dnmt3b,BRANN
0.79614524,0.49822246,Dnmt3b,BRANN
-0.126585,0.29383471,Dnmt3b,BRANN
-1.192964,-0.7761535,Dnmt3b,BRANN
-0.4924749,-0.2485987,Dnmt3b,BRANN
-0.2716768,-0.40695,Dnmt3b,BRANN
-1.1349702,-0.8837339,Dnmt3b,BRANN
-0.967974,-1.2964716,Dnmt3b,BRANN
