Sample name,U,S,L,R,P,EB2,EB3,EB4,FunctionalAssay,CellNo.Norm_2,CellNo.Norm_4,CellNo.Norm_6,CellNo.Raw_2,CellNo.Raw_4,CellNo.Raw_6,Prolif_2,Prolif_4,Prolif_6,Apoptosis_2,Apoptosis_4,Apoptosis_6,Morphology,Rex1,Oct4,Dnmt3b,Fgf5,Lefty2,Otx2,Mixl1
E116 330 LIF+Pro+DMSO,0,0,0,0,0,0.896427676,5.918759677,6.868753796,13.68394115,1,1,1,6.70E+06,4.00E+06,9.60E+06,,,,,,,0.652902018,1.351345392,2.06629714,3.093747935,3.566290601,3.171181607,3.083756492,1.420151849
E116 L,0,0,1,0,0,3.380036744,2.669933836,5.590003117,11.6399737,0.93,2.48,0.86,6.20E+06,9.90E+06,8.30E+06,,,,,,,1.349620428,-0.202571918,0.073134705,2.565109697,4.094996072,0.180147861,1.9800253,-0.075520008
E116 L+P,0,0,1,0,1,-0.2968993,1.397255346,3.087462841,4.187818887,0.81,0.85,0.42,5.40E+06,3.40E+06,4.00E+06,,,,,,,0.946405229,-1.63039393,-0.347398782,0.779890039,-0.199255376,-2.251538767,-0.680382066,-1.064917477
E116 L+P+S,0,1,1,0,1,-0.293358943,3.96245648,7.327498753,10.99659629,1.13,0.85,0.48,7.60E+06,3.40E+06,4.60E+06,,,,,,,0.154248366,-0.454031631,0.444667067,-0.072482754,1.032806145,1.502330602,2.567545448,0.620117165
E116 L+R,0,0,1,1,0,,,,,0.09,,,5.80E+05,,,,,,,,,,,,,,,,
E116 L+R+P,0,0,1,1,1,,,,,0.11,,,7.60E+05,,,,,,,,,,,,,,,,
E116 L+R+P+S,0,1,1,1,1,,,,,0.08,,,5.60E+05,,,,,,,,,,,,,,,,
E116 L+R+S,0,1,1,1,0,,,,,0.09,,,5.80E+05,,,,,,,,,,,,,,,,
E116 L+S,0,1,1,0,0,,,,,1.37,1.05,0.75,9.20E+06,4.20E+06,7.20E+06,,,,,,,0.342857143,-0.687334826,-0.007231569,-0.465938398,1.954940735,1.039840265,2.339992484,-1.915935735
E116 L+U,1,0,1,0,0,4.597471582,8.882499384,9.412499986,22.89247095,1.22,1.75,0.49,8.20E+06,7.00E+06,4.70E+06,,,,,,,0.772222222,-1.336427665,-0.648371671,1.525066592,3.284958244,0.210388864,1.784922702,-1.311148256
E116 L+U+P,1,0,1,0,1,,,,,0.31,1.02,0.48,2.10E+06,4.07E+06,4.60E+06,,,,,,,0.458455166,-1.15521265,0.039840265,2.487486349,3.557532628,0.3021728,2.142413438,0.045442971
E116 L+U+P+S,1,1,1,0,1,5.242488183,11.7075002,11.97249988,28.92248826,0.79,0.78,0.25,5.30E+06,3.10E+06,2.40E+06,,,,,,,0.279166667,-0.520769439,0.675364313,0.332278283,1.592636429,1.382390583,3.192509819,-0.329159664
E116 L+U+R,1,0,1,1,0,,,,,0.05,,,3.20E+05,,,,,,,,,,,,,,,,
E116 L+U+R+P,1,0,1,1,1,,,,,0.05,,,3.40E+05,,,,,,,,,,,,,,,,
E116 L+U+R+P+S,1,1,1,1,1,,,,,0.04,,,2.60E+05,,,,,,,,,,,,,,,,
E116 L+U+R+S,1,1,1,1,0,,,,,0.06,,,4.20E+05,,,,,,,,,,,,,,,,
E116 L+U+S,1,1,1,0,0,2.6073895,7.777498621,9.957499671,20.34238779,0.57,1.6,0.24,3.80E+06,6.40E+06,2.33E+06,,,,,,,0.324074074,-1.13606155,-0.234465254,-1.038006323,1.352758525,0.702214251,2.477418293,-0.979942348
